organism	bioproject	count	manual_cur
gut metagenome	PRJNA1185313	16	
gut metagenome	PRJNA910923	16	
feces metagenome	PRJNA866162	16	
manure metagenome	PRJNA691721	15	pig
feces metagenome	PRJNA847183	15	pig
metagenome	PRJNA842493	15	
metagenome	PRJNA695407	15	
metagenome	PRJNA746311	15	
metagenome	PRJNA507739	15	
gut metagenome	PRJNA874189	15	
feces metagenome	PRJNA813004	14	human
feces metagenome	PRJNA956112	14	other
gut metagenome	PRJNA877100	14	
gut metagenome	PRJNA847017	14	
feces metagenome	PRJEB28161	14	
metagenome	PRJNA962119	14	
metagenome	PRJNA973817	14	
metagenome	PRJNA506137	14	
metagenome	PRJEB20796	14	
feces metagenome	PRJNA835973	14	
gut metagenome	PRJNA821230	14	
metagenome	PRJNA598014	13	
gut metagenome	PRJNA813023	13	
metagenome	PRJEB13595	13	
metagenome	PRJNA819232	13	
gut metagenome	PRJNA202380	13	
gut metagenome	PRJNA714112	13	
metagenome	PRJEB31632	13	
gut metagenome	PRJNA1023559	13	
feces metagenome	PRJNA907943	12	human
gut metagenome	PRJNA787384	12	
metagenome	PRJNA604466	12	
gut metagenome	PRJNA356809	11	pig
gut metagenome	PRJNA730640	11	
gut metagenome	PRJNA360177	11	
feces metagenome	PRJNA769748	11	
gut metagenome	PRJNA1011517	11	
gut metagenome	PRJEB33577	11	
metagenome	PRJEB29731	11	
metagenome	PRJEB52295	11	
gut metagenome	PRJNA1006674	11	
gut metagenome	PRJNA997718	11	
gut metagenome	PRJNA616396	11	
feces metagenome	PRJNA730677	10	human
gut metagenome	PRJNA438436	10	
gut metagenome	PRJNA573416	10	
gut metagenome	PRJNA1131161	10	
gut metagenome	PRJEB43337	10	
metagenome	PRJNA703034	10	
gut metagenome	PRJNA785003	10	
gut metagenome	PRJEB38528	10	
metagenome	PRJNA698986	10	
metagenome	PRJNA978509	10	
feces metagenome	PRJNA1166984	10	
gut metagenome	PRJNA314806	10	
gut metagenome	PRJNA774076	10	
metagenome	PRJNA847951	10	
feces metagenome	PRJNA1002411	9	human
feces metagenome	PRJNA1026631	9	human
feces metagenome	PRJNA557731	9	human
gut metagenome	PRJNA872758	9	
gut metagenome	PRJNA785979	9	
metagenome	PRJEB33338	9	
metagenome	PRJNA1042834	9	
feces metagenome	PRJNA694773	9	
gut metagenome	PRJEB39610	9	
feces metagenome	PRJNA827933	9	
gut metagenome	PRJNA904419	9	
metagenome	PRJNA649958	9	
gut metagenome	PRJNA478556	9	
metagenome	PRJNA1130704	9	
gut metagenome	PRJNA1020557	9	
feces metagenome	PRJNA1151203	8	human
feces metagenome	PRJNA491626	8	human
metagenome	PRJNA472963	8	
metagenome	PRJNA896917	8	
metagenome	PRJEB41538	8	
metagenome	PRJNA844538	8	
metagenome	PRJEB42466	8	
gut metagenome	PRJEB20308	8	
metagenome	PRJEB44146	8	
metagenome	PRJNA702770	8	
gut metagenome	PRJNA1067311	8	
metagenome	PRJEB33889	7	
metagenome	PRJNA990354	7	
metagenome	PRJNA749030	7	
gut metagenome	PRJNA1050885	7	
gut metagenome	PRJNA765392	7	
gut metagenome	PRJNA916383	7	
metagenome	PRJNA1031997	7	
metagenome	PRJEB21259	7	
metagenome	PRJNA1042833	7	
metagenome	PRJNA998844	7	
metagenome	PRJNA862694	7	
metagenome	PRJNA944095	7	
metagenome	PRJEB38909	7	
feces metagenome	PRJNA723028	6	human
feces metagenome	PRJNA778925	6	human
metagenome	PRJNA940122	6	
gut metagenome	PRJNA999692	6	
metagenome	PRJNA857474	6	
gut metagenome	PRJNA858822	6	
metagenome	PRJEB18557	6	
feces metagenome	PRJNA564888	5	human
feces metagenome	PRJNA750156	5	human
feces metagenome	PRJNA856821	5	human
gut metagenome	PRJNA932960	5	
metagenome	PRJNA971778	5	
metagenome	PRJEB11419	5	
gut metagenome	PRJNA340486	5	
gut metagenome	PRJNA741606	5	
gut metagenome	PRJNA1046298	5	
metagenome	PRJNA950991	5	
metagenome	PRJEB41222	5	
gut metagenome	PRJNA427653	5	
feces metagenome	PRJNA474710	5	
gut metagenome	PRJNA936782	5	
gut metagenome	PRJNA891875	5	
metagenome	PRJEB57859	5	
metagenome	PRJNA663717	5	
metagenome	PRJEB37430	5	
metagenome	PRJEB29504	4	
metagenome	PRJNA1168703	4	
metagenome	PRJEB30264	4	
gut metagenome	PRJNA340485	4	
gut metagenome	PRJNA565171	4	
metagenome	PRJNA682610	4	
gut metagenome	PRJNA340484	4	
metagenome	PRJNA1099934	4	
metagenome	PRJNA918527	4	
gut metagenome	PRJNA1137132	4	
gut metagenome	PRJNA849257	4	
gut metagenome	PRJEB58787	4	
metagenome	PRJEB46763	4	
metagenome	PRJNA730932	4	
gut metagenome	PRJNA999587	4	
metagenome	PRJNA883728	4	
metagenome	PRJEB34458	4	
gut metagenome	PRJNA752224	4	
feces metagenome	PRJNA446061	3	human
feces metagenome	PRJNA658643	3	human
bacterium	PRJNA763692	3	human
feces metagenome	PRJNA884830	3	human
metagenome	PRJNA999488	3	
metagenome	PRJEB49339	3	
gut metagenome	PRJNA833654	3	
manure metagenome	PRJNA1113660	3	
metagenome	PRJNA595749	3	
metagenome	PRJNA477357	3	
metagenome	PRJEB46131	3	
metagenome	PRJNA472818	3	
gut metagenome	PRJNA1095634	3	
gut metagenome	PRJNA834577	3	
metagenome	PRJNA1010388	3	
metagenome	PRJEB40903	3	
gut metagenome	PRJNA1016439	3	
metagenome	PRJNA1090236	3	
metagenome	PRJEB34573	3	
gut metagenome	PRJNA1177199	3	
gut metagenome	PRJNA955930	3	
gut metagenome	PRJNA340487	3	
metagenome	PRJNA916364	3	
gut metagenome	PRJNA1018682	3	
metagenome	PRJNA1115109	3	
metagenome	PRJNA812891	3	
gut metagenome	PRJNA345227	3	
gut metagenome	PRJNA853174	3	
metagenome	PRJNA689808	3	
metagenome	PRJEB50408	3	
metagenome	PRJNA1065951	3	
metagenome	PRJNA997821	3	
gut metagenome	PRJNA340483	3	
gut metagenome	PRJNA590085	3	
feces metagenome	PRJNA894152	2	human
gut metagenome	PRJNA317576	2	
metagenome	PRJEB20586	2	
gut metagenome	PRJNA240141	2	
metagenome	PRJEB6972	2	
metagenome	PRJEB22775	2	
gut metagenome	PRJNA1071073	2	
gut metagenome	PRJNA214227	2	
gut metagenome	PRJNA366591	2	
manure metagenome	PRJNA964586	2	
gut metagenome	PRJNA821923	2	
gut metagenome	PRJNA758357	2	
metagenome	PRJNA825695	2	
metagenome	PRJNA497508	2	
gut metagenome	PRJNA631602	2	
gut metagenome	PRJNA1113545	2	
gut metagenome	PRJNA730942	2	
unidentified	PRJEB38174	2	
gut metagenome	PRJNA988023	2	
metagenome	PRJNA761533	2	
gut metagenome	PRJNA933244	2	
gut metagenome	PRJNA1161368	2	
metagenome	PRJNA975618	2	
gut metagenome	PRJNA586865	2	
metagenome	PRJNA997801	2	
metagenome	PRJNA908759	2	
metagenome	PRJEB29020	2	
metagenome	PRJNA693684	2	
feces metagenome	PRJEB46212	1	human
feces metagenome	PRJNA657304	1	human
feces metagenome	PRJNA772288	1	human
feces metagenome	PRJNA772888	1	human
feces metagenome	PRJNA848116	1	human
metagenome	PRJEB47746	1	
metagenome	PRJNA913821	1	
metagenome	PRJEB16317	1	
metagenome	PRJNA985904	1	
gut metagenome	PRJNA630144	1	
metagenome	PRJNA940065	1	
gut metagenome	PRJNA545214	1	
gut metagenome	PRJNA397450	1	
gut metagenome	PRJNA590979	1	
feces metagenome	PRJNA738554	1	
metagenome	PRJNA761454	1	
gut metagenome	PRJNA725899	1	
gut metagenome	PRJNA1012006	1	
metagenome	PRJNA905698	1	
gut metagenome	PRJNA601318	1	
gut metagenome	PRJNA340523	1	
metagenome	PRJNA934363	1	
gut metagenome	PRJNA271618	1	
gut metagenome	PRJNA386503	1	
metagenome	PRJEB15519	1	
metagenome	PRJNA865096	1	
feces metagenome	PRJNA343008	1	
metagenome	PRJNA844179	1	
gut metagenome	PRJNA340489	1	
gut metagenome	PRJNA835321	1	
metagenome	PRJNA719719	1	
gut metagenome	PRJNA366460	1	
metagenome	PRJEB18115	1	
manure metagenome	PRJNA843911	1	
gut metagenome	PRJNA366463	1	
gut metagenome	PRJNA297579	1	
metagenome	PRJNA608645	1	
metagenome	PRJNA1134639	1	
metagenome	PRJNA477326	1	
metagenome	PRJNA749165	1	
manure metagenome	PRJNA948024	1	
gut metagenome	PRJEB44685	1	
gut metagenome	PRJNA340490	1	
